Año,Ramas de actividad,Tipo de indicador,Tamaño de la empresa,Total
2017,TOTAL EMPRESAS,Total,Menos de 250 empleados,15045
2017,TOTAL EMPRESAS,Total,250 y más empleados,1469
2017,TOTAL EMPRESAS,Total,Total,16513
2017,TOTAL INDUSTRIA,Total,Menos de 250 empleados,6071
2017,TOTAL INDUSTRIA,Total,250 y más empleados,676
2017,TOTAL INDUSTRIA,Total,Total,6747
2017,TOTAL SERVICIOS,Total,Menos de 250 empleados,7687
2017,TOTAL SERVICIOS,Total,250 y más empleados,701
2017,TOTAL SERVICIOS,Total,Total,8389
2016,TOTAL EMPRESAS,Total,Menos de 250 empleados,14264
2016,TOTAL EMPRESAS,Total,250 y más empleados,1384
2016,TOTAL EMPRESAS,Total,Total,15648
2016,TOTAL INDUSTRIA,Total,Menos de 250 empleados,5758
2016,TOTAL INDUSTRIA,Total,250 y más empleados,654
2016,TOTAL INDUSTRIA,Total,Total,6412
2016,TOTAL SERVICIOS,Total,Menos de 250 empleados,7276
2016,TOTAL SERVICIOS,Total,250 y más empleados,656
2016,TOTAL SERVICIOS,Total,Total,7931
2015,TOTAL EMPRESAS,Total,Menos de 250 empleados,14382
2015,TOTAL EMPRESAS,Total,250 y más empleados,1354
2015,TOTAL EMPRESAS,Total,Total,15736
2015,TOTAL INDUSTRIA,Total,Menos de 250 empleados,5810
2015,TOTAL INDUSTRIA,Total,250 y más empleados,623
2015,TOTAL INDUSTRIA,Total,Total,6434
2015,TOTAL SERVICIOS,Total,Menos de 250 empleados,7561
2015,TOTAL SERVICIOS,Total,250 y más empleados,649
2015,TOTAL SERVICIOS,Total,Total,8210
2014,TOTAL EMPRESAS,Total,Menos de 250 empleados,14398
2014,TOTAL EMPRESAS,Total,250 y más empleados,1350
2014,TOTAL EMPRESAS,Total,Total,15748
2014,TOTAL INDUSTRIA,Total,Menos de 250 empleados,5790
2014,TOTAL INDUSTRIA,Total,250 y más empleados,622
2014,TOTAL INDUSTRIA,Total,Total,6411
2014,TOTAL SERVICIOS,Total,Menos de 250 empleados,7633
2014,TOTAL SERVICIOS,Total,250 y más empleados,651
2014,TOTAL SERVICIOS,Total,Total,8283
2013,TOTAL EMPRESAS,Total,Menos de 250 empleados,14772
2013,TOTAL EMPRESAS,Total,250 y más empleados,1347
2013,TOTAL EMPRESAS,Total,Total,16119
2013,TOTAL INDUSTRIA,Total,Menos de 250 empleados,5945
2013,TOTAL INDUSTRIA,Total,250 y más empleados,619
2013,TOTAL INDUSTRIA,Total,Total,6564
2013,TOTAL SERVICIOS,Total,Menos de 250 empleados,7583
2013,TOTAL SERVICIOS,Total,250 y más empleados,654
2013,TOTAL SERVICIOS,Total,Total,8236
2012,TOTAL EMPRESAS,Total,Menos de 250 empleados,16670
2012,TOTAL EMPRESAS,Total,250 y más empleados,1407
2012,TOTAL EMPRESAS,Total,Total,18077
2012,TOTAL INDUSTRIA,Total,Menos de 250 empleados,6646
2012,TOTAL INDUSTRIA,Total,250 y más empleados,647
2012,TOTAL INDUSTRIA,Total,Total,7293
2012,TOTAL SERVICIOS,Total,Menos de 250 empleados,8495
2012,TOTAL SERVICIOS,Total,250 y más empleados,682
2012,TOTAL SERVICIOS,Total,Total,9177
2011,TOTAL EMPRESAS,Total,Menos de 250 empleados,18983
2011,TOTAL EMPRESAS,Total,250 y más empleados,1504
2011,TOTAL EMPRESAS,Total,Total,20487
2011,TOTAL INDUSTRIA,Total,Menos de 250 empleados,7406
2011,TOTAL INDUSTRIA,Total,250 y más empleados,677
2011,TOTAL INDUSTRIA,Total,Total,8083
2011,TOTAL SERVICIOS,Total,Menos de 250 empleados,9622
2011,TOTAL SERVICIOS,Total,250 y más empleados,731
2011,TOTAL SERVICIOS,Total,Total,10353
2010,TOTAL EMPRESAS,Total,Menos de 250 empleados,23060
2010,TOTAL EMPRESAS,Total,250 y más empleados,1585
2010,TOTAL EMPRESAS,Total,Total,24645
2010,TOTAL INDUSTRIA,Total,Menos de 250 empleados,8570
2010,TOTAL INDUSTRIA,Total,250 y más empleados,700
2010,TOTAL INDUSTRIA,Total,Total,9270
2010,TOTAL SERVICIOS,Total,Menos de 250 empleados,12019
2010,TOTAL SERVICIOS,Total,250 y más empleados,767
2010,TOTAL SERVICIOS,Total,Total,12786
2009,TOTAL EMPRESAS,Total,Menos de 250 empleados,28446
2009,TOTAL EMPRESAS,Total,250 y más empleados,1568
2009,TOTAL EMPRESAS,Total,Total,30014
2009,TOTAL INDUSTRIA,Total,Menos de 250 empleados,10236
2009,TOTAL INDUSTRIA,Total,250 y más empleados,742
2009,TOTAL INDUSTRIA,Total,Total,10979
2009,TOTAL SERVICIOS,Total,Menos de 250 empleados,14590
2009,TOTAL SERVICIOS,Total,250 y más empleados,717
2009,TOTAL SERVICIOS,Total,Total,15307
2008,TOTAL EMPRESAS,Total,Menos de 250 empleados,34480
2008,TOTAL EMPRESAS,Total,250 y más empleados,1703
2008,TOTAL EMPRESAS,Total,Total,36183
2008,TOTAL INDUSTRIA,Total,Menos de 250 empleados,10404
2008,TOTAL INDUSTRIA,Total,250 y más empleados,815
2008,TOTAL INDUSTRIA,Total,Total,11219
2008,TOTAL SERVICIOS,Total,Menos de 250 empleados,17111
2008,TOTAL SERVICIOS,Total,250 y más empleados,738
2008,TOTAL SERVICIOS,Total,Total,17850
2007,TOTAL EMPRESAS,Total,Menos de 250 empleados,29174
2007,TOTAL EMPRESAS,Total,250 y más empleados,1646
2007,TOTAL EMPRESAS,Total,Total,30819
2007,TOTAL INDUSTRIA,Total,Menos de 250 empleados,11934
2007,TOTAL INDUSTRIA,Total,250 y más empleados,813
2007,TOTAL INDUSTRIA,Total,Total,12746
2007,TOTAL SERVICIOS,Total,Menos de 250 empleados,13102
2007,TOTAL SERVICIOS,Total,250 y más empleados,688
2007,TOTAL SERVICIOS,Total,Total,13791
2006,TOTAL EMPRESAS,Total,Menos de 250 empleados,29826
2006,TOTAL EMPRESAS,Total,250 y más empleados,1634
2006,TOTAL EMPRESAS,Total,Total,31460
2006,TOTAL INDUSTRIA,Total,Menos de 250 empleados,11864
2006,TOTAL INDUSTRIA,Total,250 y más empleados,841
2006,TOTAL INDUSTRIA,Total,Total,12705
2006,TOTAL SERVICIOS,Total,Menos de 250 empleados,13808
2006,TOTAL SERVICIOS,Total,250 y más empleados,665
2006,TOTAL SERVICIOS,Total,Total,14473
2005,TOTAL EMPRESAS,Total,Menos de 250 empleados,28261
2005,TOTAL EMPRESAS,Total,250 y más empleados,1504
2005,TOTAL EMPRESAS,Total,Total,29766
2005,TOTAL INDUSTRIA,Total,Menos de 250 empleados,11226
2005,TOTAL INDUSTRIA,Total,250 y más empleados,804
2005,TOTAL INDUSTRIA,Total,Total,12030
2005,TOTAL SERVICIOS,Total,Menos de 250 empleados,13588
2005,TOTAL SERVICIOS,Total,250 y más empleados,612
2005,TOTAL SERVICIOS,Total,Total,14200
2004,TOTAL EMPRESAS,Total,Menos de 250 empleados,35045
2004,TOTAL EMPRESAS,Total,250 y más empleados,1435
2004,TOTAL EMPRESAS,Total,Total,36480
2004,TOTAL INDUSTRIA,Total,Menos de 250 empleados,12291
2004,TOTAL INDUSTRIA,Total,250 y más empleados,783
2004,TOTAL INDUSTRIA,Total,Total,13074
2004,TOTAL SERVICIOS,Total,Menos de 250 empleados,15797
2004,TOTAL SERVICIOS,Total,250 y más empleados,576
2004,TOTAL SERVICIOS,Total,Total,16372
