"COU","Country","MEASURE","Measure","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2000","2000","EUR","Euro","6","Millions",,,221.9,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2001","2001","EUR","Euro","6","Millions",,,310.3,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2002","2002","EUR","Euro","6","Millions",,,374.8,"B","Break"
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2003","2003","EUR","Euro","6","Millions",,,494.5,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2004","2004","EUR","Euro","6","Millions",,,606.2,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2005","2005","EUR","Euro","6","Millions",,,746.6,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2006","2006","EUR","Euro","6","Millions",,,946.6,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2007","2007","EUR","Euro","6","Millions",,,1217.9,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2008","2008","EUR","Euro","6","Millions",,,1445,"B","Break"
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2009","2009","EUR","Euro","6","Millions",,,1296.8,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2010","2010","EUR","Euro","6","Millions",,,1245,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2011","2011","EUR","Euro","6","Millions",,,1063.7,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2012","2012","EUR","Euro","6","Millions",,,896.6,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2013","2013","EUR","Euro","6","Millions",,,740.2,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2014","2014","EUR","Euro","6","Millions",,,658.9,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2015","2015","EUR","Euro","6","Millions",,,648,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2016","2016","EUR","Euro","6","Millions",,,632.4,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2017","2017","EUR","Euro","6","Millions",,,675.7,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2018","2018","EUR","Euro","6","Millions",,,762,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2019","2019","EUR","Euro","6","Millions",,,839,,
"ESP","Spain","NCM","National Currency","DF","Government-financed BERD","2020","2020","EUR","Euro","6","Millions",,,840,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2000","2000","PC","Percentage","0","Units",,,7.23,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2001","2001","PC","Percentage","0","Units",,,9.51,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2002","2002","PC","Percentage","0","Units",,,9.55,"B","Break"
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2003","2003","PC","Percentage","0","Units",,,11.13,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2004","2004","PC","Percentage","0","Units",,,12.46,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2005","2005","PC","Percentage","0","Units",,,13.61,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2006","2006","PC","Percentage","0","Units",,,14.44,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2007","2007","PC","Percentage","0","Units",,,16.34,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2008","2008","PC","Percentage","0","Units",,,17.9,"B","Break"
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2009","2009","PC","Percentage","0","Units",,,17.14,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2010","2010","PC","Percentage","0","Units",,,16.59,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2011","2011","PC","Percentage","0","Units",,,14.38,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2012","2012","PC","Percentage","0","Units",,,12.64,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2013","2013","PC","Percentage","0","Units",,,10.72,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2014","2014","PC","Percentage","0","Units",,,9.71,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2015","2015","PC","Percentage","0","Units",,,9.36,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2016","2016","PC","Percentage","0","Units",,,8.87,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2017","2017","PC","Percentage","0","Units",,,8.74,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2018","2018","PC","Percentage","0","Units",,,9.02,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2019","2019","PC","Percentage","0","Units",,,9.6,,
"ESP","Spain","BERD_PCT","As a Percentage of BERD","DF","Government-financed BERD","2020","2020","PC","Percentage","0","Units",,,9.58,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2002","2002","PC","Percentage","0","Units",,,0.0273,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2003","2003","PC","Percentage","0","Units",,,0.0313,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2004","2004","PC","Percentage","0","Units",,,0.0349,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2005","2005","PC","Percentage","0","Units",,,0.0375,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2006","2006","PC","Percentage","0","Units",,,0.0316,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2007","2007","PC","Percentage","0","Units",,,0.0296,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2008","2008","PC","Percentage","0","Units",,,0.0294,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2009","2009","PC","Percentage","0","Units",,,0.0306,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2010","2010","PC","Percentage","0","Units",,,0.0273,,
"ESP","Spain","GDP_PCT","As a Percentage of GDP","RDTAX","Indirect government support through R&D tax incentives","2011","2011","PC","Percentage","0","Units",,,0.0226,,
