Año;Ramas de actividad;Tamaño de la empresa;Tipo de indicador;Total
2017;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);5083620
2017;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);9737834
2017;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);14821454
2017;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;62.54
2017;TOTAL EMPRESAS;250 y más empleados;I+D interna;43.13
2017;TOTAL EMPRESAS;Total;I+D interna;49.78
2017;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);10.64
2017;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);17.43
2017;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);15.1
2017;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;17.19
2017;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;22.56
2017;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;20.72
2017;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;1.42
2017;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;7.15
2017;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;5.18
2017;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;0.69
2017;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.4
2017;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.5
2017;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;2.96
2017;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;3.1
2017;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;3.05
2017;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;4.57
2017;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;6.23
2017;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;5.66
2017;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);2064611
2017;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);5455836
2017;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);7520448
2017;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;56.17
2017;TOTAL INDUSTRIA;250 y más empleados;I+D interna;46.54
2017;TOTAL INDUSTRIA;Total;I+D interna;49.18
2017;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);9.79
2017;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);21.91
2017;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);18.58
2017;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;26.06
2017;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;20.39
2017;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;21.95
2017;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.71
2017;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;5.45
2017;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;4.15
2017;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.57
2017;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.17
2017;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.28
2017;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.31
2017;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;3.23
2017;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;3.25
2017;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;3.4
2017;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;2.32
2017;TOTAL INDUSTRIA;Total;Diseño, otros preparativos para producción y/o distribución;2.62
2017;TOTAL SERVICIOS;Menos de 250 empleados;Gastos totales (miles de euros);2869455
2017;TOTAL SERVICIOS;250 y más empleados;Gastos totales (miles de euros);4151308
2017;TOTAL SERVICIOS;Total;Gastos totales (miles de euros);7020763
2017;TOTAL SERVICIOS;Menos de 250 empleados;I+D interna;66.89
2017;TOTAL SERVICIOS;250 y más empleados;I+D interna;37.55
2017;TOTAL SERVICIOS;Total;I+D interna;49.54
2017;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);11.42
2017;TOTAL SERVICIOS;250 y más empleados;Adquisición de  I+D (I+D externa);11.61
2017;TOTAL SERVICIOS;Total;Adquisición de  I+D (I+D externa);11.53
2017;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;10.66
2017;TOTAL SERVICIOS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;26.09
2017;TOTAL SERVICIOS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;19.78
2017;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;1.95
2017;TOTAL SERVICIOS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;9.61
2017;TOTAL SERVICIOS;Total;Adquisición de otros conocimientos externos para innovación;6.48
2017;TOTAL SERVICIOS;Menos de 250 empleados;Formación para actividades de innovación;0.75
2017;TOTAL SERVICIOS;250 y más empleados;Formación para actividades de innovación;0.71
2017;TOTAL SERVICIOS;Total;Formación para actividades de innovación;0.73
